ID,line,path,eva_nr,category,station,state,city,zip,long,lat,arrival_plan,departure_plan,arrival_change,departure_change,arrival_delay_m,departure_delay_m,info,arrival_delay_check,departure_delay_check
8522387556149699857-2407101916-12,87,Stuttgart Hbf|Böblingen|Herrenberg|Gäufelden|Bondorf(b Herrenberg)|Horb|Sulz(Neckar)|Oberndorf(Neckar)|Rottweil|Spaichingen|Tuttlingen,8001790,4,Engen,Baden-Württemberg,Engen ,78234,8.772786,47.856347,2024-07-10 21:13:00,2024-07-10 21:14:00,2024-07-10 21:18:00,2024-07-10 21:20:00,5,6,,on_time,delay
7294385567428346615-2407111815-11,5X,Halle(Saale)Hbf|Leipzig/Halle Flughafen|Leipzig Messe|Leipzig Hbf (tief)|Leipzig Markt|Leipzig Wilhelm-Leuschner-Platz|Leipzig Bayerischer Bahnhof|Leipzig MDR|Leipzig-Connewitz|Markkleeberg Nord,8012308,5,Markkleeberg,Sachsen,Markkleeberg,4416,12.372615,51.279029,2024-07-11 18:54:00,2024-07-11 18:54:00,2024-07-11 18:54:00,2024-07-11 18:54:00,0,0,Bauarbeiten,on_time,on_time
330465541574312731-2407141132-11,1,Neumarkt(Oberpf)|Pölling|Postbauer-Heng|Oberferrieden|Burgthann|Mimberg|Ochenbruck|Feucht Ost|Feucht|Nürnberg Hbf,8004487,5,Nürnberg-Steinbühl,Bayern,Nürnberg,90443,11.0682,49.442836,2024-07-14 12:10:00,2024-07-14 12:11:00,2024-07-14 12:11:00,2024-07-14 12:12:00,1,1,,on_time,on_time
3646559143861574448-2407110313-4,6,Düsseldorf Hbf|Düsseldorf-Bilk|Neuss Hbf,8001506,4,Dormagen,Nordrhein-Westfalen,Dormagen,41540,6.814837,51.099495,2024-07-11 03:36:00,2024-07-11 03:37:00,2024-07-11 03:36:00,2024-07-11 03:37:00,0,0,,on_time,on_time
4393066922376840600-2407131907-1,40,,8000098,1,Essen Hbf,Nordrhein-Westfalen,Essen,45127,7.014793,51.451355,,2024-07-13 19:07:00,,2024-07-13 19:07:00,0,0,,on_time,on_time
8640899555193381858-2407121436-5,6,Hamburg-Altona|Elmshorn|Itzehoe|Heide(Holst),8003798,5,Lunden,Schleswig-Holstein,Lunden,25774,9.030746,54.331231,2024-07-12 16:12:00,2024-07-12 16:12:00,2024-07-12 16:16:00,2024-07-12 16:17:00,4,5,Information,on_time,on_time
-8587218953180304159-2407131816-5,51,Wächtersbach|Wirtheim|Haitz-Höchst|Gelnhausen,8002526,5,Hailer-Meerholz,Hessen,Gelnhausen,63571,9.150665,50.189671,2024-07-13 18:31:00,2024-07-13 18:31:00,2024-07-13 18:31:00,2024-07-13 18:32:00,0,1,,on_time,on_time
-4174343657099266135-2407131607-10,1,Hamburg-Blankenese|Hamburg Hochkamp|Hamburg Klein Flottbek|Hamburg-Othmarschen|Hamburg-Bahrenfeld|Hamburg-Ottensen|Hamburg-Altona(S)|Hamburg Königstraße|Hamburg Reeperbahn,8003518,4,Landungsbrücken,Hamburg,Hamburg,20459,9.971281,53.546132,2024-07-13 16:26:00,2024-07-13 16:27:00,,,0,0,,on_time,on_time
8546073623928403797-2407121340-16,27,Koblenz Hbf|Koblenz-Ehrenbreitstein|Vallendar|Engers|Neuwied|Leutesdorf(Rhein)|Rheinbrohl|Bad Hönningen|Leubsdorf(Rhein)|Linz(Rhein)|Erpel(Rhein)|Unkel|Bad Honnef(Rhein)|Rhöndorf|Königswinter,8004366,5,Niederdollendorf,Nordrhein-Westfalen,Königswinter,53639,7.180977,50.695078,2024-07-12 14:40:00,2024-07-12 14:40:00,2024-07-12 14:41:00,2024-07-12 14:41:00,1,1,Bauarbeiten. (Quelle: zuginfo.nrw),on_time,on_time
1602373024454288660-2407130931-3,1,Stuttgart Hbf|Vaihingen(Enz),8000055,2,Bruchsal,Baden-Württemberg,Bruchsal,76646,8.589649,49.124622,2024-07-13 10:05:00,2024-07-13 10:06:00,2024-07-13 10:05:00,2024-07-13 10:06:00,0,0,,on_time,on_time
